Type of Crosswalk;X;Y;Lat;Long;geopoint
Parallel Lines;489460.0;5459781.0;49.2906870277;-123.144947634;49.2906870277,-123.144947634
Parallel Lines;489638.0;5459293.0;49.2863004454;-123.142487109;49.2863004454,-123.142487109
Parallel Lines;489838.0;5459094.0;49.2845137704;-123.139731874;49.2845137704,-123.139731874
Parallel Lines;490481.0;5457936.0;49.2741077335;-123.130862809;49.2741077335,-123.130862809
Parallel Lines;489359.0;5457974.0;49.2744310506;-123.146288507;49.2744310506,-123.146288507
Parallel Lines;487762.0;5457503.0;49.2701644523;-123.168228968;49.2701644523,-123.168228968
Parallel Lines;487624.0;5456830.0;49.2641079331;-123.170105155;49.2641079331,-123.170105155
Parallel Lines;487050.0;5456444.0;49.2606239157;-123.177982121;49.2606239157,-123.177982121
Parallel Lines;486481.0;5456957.0;49.26522612;-123.185819623;49.26522612,-123.185819623
Parallel Lines;486114.0;5456772.0;49.2635537939;-123.190857617;49.2635537939,-123.190857617
Parallel Lines;485248.0;5457503.0;49.2701089677;-123.202787317;49.2701089677,-123.202787317
Zebra Crossing;486601.0;5451776.0;49.2186246756;-123.183996997;49.2186246756,-123.183996997
Zebra Crossing;486199.0;5453284.0;49.2321805335;-123.189569172;49.2321805335,-123.189569172
Zebra Crossing;485897.0;5453573.0;49.2347732643;-123.193727556;49.2347732643,-123.193727556
Zebra Crossing;487200.0;5453351.0;49.2328049575;-123.175821745;49.2328049575,-123.175821745
