OBJECTID;USE;HBLOCK;LENGTH;LOWADDR;HIGHADDR;comments;POINT_X;POINT_Y
2122.0;Secondary Arterial;1600 E KENT AV NORTH;203.64589;1600.0;1600.0;no sidewalk- both sides bike lane only;494611.75443;5450751.22425
2127.0;Secondary Arterial;1500 E KENT AV NORTH;96.870338;1500.0;1500.0;no sidewalk- both sides bike lane only;494515.033765;5450750.91332
2130.0;Residential;7300 DUMFRIES ST;48.212781;0.0;0.0;;494501.26666;5451658.02849
2131.0;Residential;7300 DUMFRIES ST;48.212781;0.0;0.0;;494500.629474;5451609.81992
2132.0;Residential;7300 DUMFRIES ST;48.0337;0.0;0.0;;494501.814845;5451706.05906
2137.0;Residential;5700 RHODES ST;133.530396;5700.0;5700.0;No sidewalks both sides except small section north west side;496350.217016;5453153.53018
2139.0;Residential;2600 E 27TH AV;43.556908;2600.0;2600.0;No Sidewalk both sides. There is a path accesible;496255.776897;5454835.34184
2142.0;Residential;2800 E 19TH AV;143.166949;2800.0;2800.0;2016 List;496705.370616;5455603.2296
2151.0;Residential;2600 E 17TH AV;146.798271;2600.0;2600.0;no sidewalk both sides- north side park;496268.408189;5455747.3179
2156.0;Residential;2000 KASLO ST;56.087759;2000.0;2000.0;;496581.365242;5457052.33348
2159.0;Residential;1800 KASLO ST;50.894129;1800.0;1800.0;gravel on east side;496583.414274;5457256.13228
2168.0;Residential;200 SOUTHERN ST;139.653743;200.0;200.0;No sidewalks both sides . More like p.lot;492795.568931;5457556.51828
2169.0;Residential;200 SOUTHERN ST;139.653743;200.0;200.0;No sidewalks both sides . More like p.lot;492856.686976;5457534.39172
2175.0;Arterial;1800-1900 SW MARINE DRIVE;425.273715;1800.0;1900.0;no sidewalk both sides - bike lane?!;489174.137952;5450745.92853
2176.0;Arterial;1800-1900 SW MARINE DRIVE;425.273715;1800.0;1900.0;no sidewalk both sides - bike lane?!;489138.433986;5450800.24452
2181.0;Arterial;1800-1900 SW MARINE DRIVE;425.273715;1800.0;1900.0;no sidewalk both sides - bike lane?!;488959.914157;5451071.82448
2188.0;Arterial;2000 SW MARINE DRIVE;172.487678;2000.0;2000.0;no sidewalk both sides - bike lane?!;488869.160533;5451209.95188
2198.0;Arterial;2100 SW MARINE DRIVE;307.505076;2100.0;2100.0;no sidewalk both sides - bike lane?!;488567.392508;5451668.7246
