Date;Time;Location;Location Type;Pedestrian;Bike;Motorcycle;Veh;Age;Gender ;Lat;Long;geopoint
2017-12-24 00:00:00;12:00:00;Cambie St at Dunsmuir St;Intersection;;;;1;70-79;F;49.2804691242;-123.111536284;49.2804691242,-123.111536284
2018-04-09 00:00:00;15:00:00;W King Edward Av/Crown St;Intersection;;;;1;0-10;M;49.2500929837;-123.193609214;49.2500929837,-123.193609214
2018-08-27 00:00:00;09:52:00;Bidwell St / Robson St;Intersection;;;;1;40-49;M;49.2904587371;-123.1338611;49.2904587371,-123.1338611
2018-11-07 00:00:00;11:30:00;E 30th Av / Main St;Intersection;1;;;;80-89;F;49.2432853461;-123.101358444;49.2432853461,-123.101358444
2019-05-18 00:00:00;19:19:00;400 Block E 57th Ave;Mid-Block;1;;;;30-39;M;49.2183506882;-123.09631082;49.2183506882,-123.09631082
2019-08-22 00:00:00;;Boundary Rd / Rumble Av;Intersection;;;1;;20-29;M;49.2148059098;-123.02360072;49.2148059098,-123.02360072
09-139072;;3700 Blk Arbutus St;;;;;1;20-29;M;49.2530376268;-123.15305126;49.2530376268,-123.15305126
09-210508;;300 Block Prior St;;1;;;0;70-79;M;49.2766997248;-123.096207074;49.2766997248,-123.096207074
09-64198;;Granville St/W 49th Av;;;;1;0;20-29;M;49.2269657796;-123.139843258;49.2269657796,-123.139843258
2/1/2018;17:57:00;E King Edward Ave at Inverness St;Intersection;1;;;0;50-59;M;49.2485251645;-123.08002739;49.2485251645,-123.08002739
2006-03-10 00:00:00;;37th Av/Knight St;;;;;1;40-49;F;49.236852466;-123.076890311;49.236852466,-123.076890311
2006-06-27 00:00:00;;Granville St/Drake St;;1;;;0;50-59;M;;;
2006-07-21 00:00:00;;400 Block E Broadway;;;;;1;20-29;F;49.262517864;-123.094500217;49.262517864,-123.094500217
2006-07-28 00:00:00;;Clark Dr/N Grandview Hwy;;;1;;0;60-69;M;;;
2006-09-17 00:00:00;;6900 Fleming St;;1;;;0;0-10;M;49.2210755371;-123.073315162;49.2210755371,-123.073315162
2007-01-11 00:00:00;;6500 Oak St;;1;;;0;20-29;F;49.2261183682;-123.12833142;49.2261183682,-123.12833142
2007-02-14 00:00:00;;2500 Block E 1st Av;;1;;;0;30-39;M;49.269507465;-123.053393755;49.269507465,-123.053393755
2007-07-01 00:00:00;;2200 Block SW Marine Dr;;;;1;0;50-59;M;49.2207366566;-123.158558261;49.2207366566,-123.158558261
2007-07-05 00:00:00;;W 45th Av/Cambie St;;1;;;0;50-59;F;49.2298159007;-123.116342919;49.2298159007,-123.116342919
2007-09-18 00:00:00;;W Georgia St/Beatty St;;1;;;0;50-59;M;;;
2007-10-08 00:00:00;;W 4th Av/Trafalgar St;;;1;;0;60-69;M;49.2683168008;-123.164518633;49.2683168008,-123.164518633
2007-10-14 00:00:00;;Oak St/W 70th Av;;1;;;0;20-29;F;49.2084712551;-123.130245702;49.2084712551,-123.130245702
2007-12-19 00:00:00;;Hemlock St/W 14th Av;;1;;;0;80-89;F;49.2588723957;-123.136270861;49.2588723957,-123.136270861
2008-01-13 00:00:00;;100 W 2nd Av;;;;;1;20-29;M;49.269300586;-123.107999067;49.269300586,-123.107999067
2008-01-28 00:00:00;;700 Block E 12th Av;;;;;1;20-29;F;49.2597085615;-123.088196028;49.2597085615,-123.088196028
2008-03-14 00:00:00;;Main St/E Hastings St;;1;;;0;60-69;M;49.2813356086;-123.099648811;49.2813356086,-123.099648811
2008-06-30 00:00:00;;2000 Blk Main St;;;1;;0;50-59;M;49.2668620897;-123.100794092;49.2668620897,-123.100794092
2008-12-16 00:00:00;;400 Blk Kingsway;;1;;;0;40-49;M;49.2582315988;-123.093883502;49.2582315988,-123.093883502
2010-01-04 00:00:00;;E Hastings St/Kootenay St;;1;;;0;60-69;F;49.2811205257;-123.025696312;49.2811205257,-123.025696312
2010-01-10 00:00:00;;3100 Blk E 49th Ave;;1;;;0;20-29;F;49.224736206;-123.039935817;49.224736206,-123.039935817
