Location;Installed_DT;Removed_DT;Latitude;Longitude;Note;On_bikeway;X;Y;geopoint
Windsor St & E 38th Av;2002-05-30 00:00:00;;49.23562341;-123.084759;;Yes;493830.0;5453653.0;49.23562341,-123.084759
Maple St & Whyte Av;1992;;49.27537301;-123.150093;;No;489082.0;5458079.0;49.27537301,-123.150093
Garden Dr & Napier St;1988;;49.27476158;-123.057914;;No;495787.0;5458002.0;49.27476158,-123.057914
N Nanaimo St & Wall St;1997;;49.29068958;-123.056492;;Yes;495892.0;5459773.0;49.29068958,-123.056492
Glen Dr & E 11th Av;1990-01-11 00:00:00;;49.26055852;-123.081405;;No;494077.0;5456425.0;49.26055852,-123.081405
Trafalgar St & W 8th Av;2005-03-07 00:00:00;;49.26490808;-123.164638;;Yes;488022.0;5456918.0;49.26490808,-123.164638
Sasamat St & W 8th Av;Between 2004-2006;;49.26558043;-123.209037;date ranges from ortho photos;Yes;484792.0;5457001.0;49.26558043,-123.209037
Prince Albert St & E 28th Av;2001-05-01 00:00:00;;49.24549316;-123.087828;;No;493608.0;5454750.0;49.24549316,-123.087828
Maple St & W 8th Av;1995;;49.264701;-123.150495;;No;489051.0;5456893.0;49.264701,-123.150495
Brunswick St & E 8th Av;1987;;49.26362545;-123.09699;;No;492943.0;5456767.0;49.26362545,-123.09699
N Kaslo St & Oxford St;1998;;49.28568472;-123.046696;;Yes;496604.0;5459216.0;49.28568472,-123.046696
Heather St & W 62nd Av;2007-03-08 00:00:00;;49.21463084;-123.123982;;Yes;490971.0;5451323.0;49.21463084,-123.123982
Beechwood St & W 54th Av;Between 1999-Sept 2001;;49.22194594;-123.156349;date ranges from ortho photos;No;488615.0;5452141.0;49.22194594,-123.156349
Balsam St & W 51st Av;1998;;49.22505902;-123.161349;;No;488252.0;5452488.0;49.22505902,-123.161349
Maple St & W 15th Av;1996;;49.25818514;-123.150739;;No;489032.0;5456169.0;49.25818514,-123.150739
Highbury St & W 6th Av;2008-02-01 00:00:00;;49.26694041;-123.187685;;Yes;486346.0;5457148.0;49.26694041,-123.187685
Laurel St & W 19th Av;Between 2006-September 2007;June 10 2011;49.25438044;-123.124495;;No;490941.0;5455742.0;49.25438044,-123.124495
Heather St & W 18th Av;1997;;49.25520111;-123.120148;;Yes;491257.0;5455833.0;49.25520111,-123.120148
Balaclava St & W 12th Av;Between Aug 2008-April 2009;;49.26146544;-123.174073;date ranges from ortho photos;Yes;487335.0;5456537.0;49.26146544,-123.174073
Woodland Dr & E 10th Av;1996-10-23 00:00:00;;49.26140054;-123.073649;;Yes;494641.0;5456518.0;49.26140054,-123.073649
Heather St & W 22nd Av;1997;;49.25158391;-123.120281;;Yes;491247.0;5455431.0;49.25158391,-123.120281
Sophia St & E 13th Av;Between Aug 2003-2004;;49.25928012;-123.098338;date ranges from ortho photos;No;492845.0;5456284.0;49.25928012,-123.098338
St George St & E 13th Av;1987-11-02 00:00:00;;49.25884318;-123.09305;;No;493229.0;5456235.0;49.25884318,-123.09305
Ontario St & 14th Av;1991;;49.25846354;-123.105091;;Yes;492353.0;5456194.0;49.25846354,-123.105091
